filename;sentiment
1.mp4;negative
2.mp4;positive
3.mp4;negative
4.mp4;positive
5.mp4;positive
6.mp4;positive
7.mp4;negative
8.mp4;positive
9.mp4;positive
10.mp4;positive
11.mp4;positive
12.mp4;positive
13.mp4;positive
14.mp4;negative
15.mp4;negative
16.mp4;positive
17.mp4;positive
18.mp4;positive
19.mp4;negative
20.mp4;positive
21.mp4;positive
22.mp4;positive
23.mp4;positive
24.mp4;positive
25.mp4;positive
26.mp4;positive
27.mp4;positive
28.mp4;negative
29.mp4;positive
30.mp4;positive
31.mp4;negative
32.mp4;positive
33.mp4;positive
34.mp4;negative
35.mp4;positive
36.mp4;positive
37.mp4;negative
38.mp4;negative
39.mp4;positive
40.mp4;positive
41.mp4;negative
42.mp4;negative
43.mp4;positive
44.mp4;positive
45.mp4;negative
46.mp4;positive
47.mp4;negative
48.mp4;positive
49.mp4;negative
50.mp4;positive
51.mp4;positive
52.mp4;positive
53.mp4;positive
54.mp4;positive
55.mp4;positive
56.mp4;positive
57.mp4;positive
58.mp4;positive
59.mp4;negative
60.mp4;negative
61.mp4;positive
62.mp4;positive
63.mp4;positive
64.mp4;positive
65.mp4;positive
66.mp4;positive
67.mp4;positive
68.mp4;positive
69.mp4;positive
70.mp4;positive
71.mp4;positive
72.mp4;positive
73.mp4;negative
74.mp4;positive
75.mp4;negative
76.mp4;positive
77.mp4;positive
78.mp4;positive
79.mp4;negative
80.mp4;positive
81.mp4;positive
82.mp4;positive
83.mp4;positive
84.mp4;positive
85.mp4;positive
86.mp4;positive
87.mp4;positive
88.mp4;negative
89.mp4;positive
90.mp4;positive
91.mp4;positive
92.mp4;positive
93.mp4;positive
94.mp4;positive
95.mp4;positive
96.mp4;positive
97.mp4;negative
98.mp4;positive
99.mp4;positive
100.mp4;positive
101.mp4;positive
102.mp4;positive
103.mp4;positive
104.mp4;negative
105.mp4;positive
106.mp4;positive
107.mp4;positive
108.mp4;positive
109.mp4;positive
110.mp4;positive
111.mp4;positive
112.mp4;positive
113.mp4;negative
114.mp4;positive
115.mp4;positive
116.mp4;positive
117.mp4;positive
118.mp4;negative
119.mp4;positive
120.mp4;positive
121.mp4;negative
122.mp4;positive
123.mp4;positive
124.mp4;positive
125.mp4;positive
126.mp4;positive
127.mp4;positive
128.mp4;positive
129.mp4;positive
130.mp4;positive
131.mp4;positive
132.mp4;positive
133.mp4;negative
134.mp4;positive
135.mp4;positive
136.mp4;positive
137.mp4;positive
138.mp4;positive
139.mp4;negative
140.mp4;positive
141.mp4;negative
142.mp4;negative
143.mp4;negative
144.mp4;positive
145.mp4;positive
146.mp4;positive
147.mp4;positive
148.mp4;positive
149.mp4;positive
150.mp4;negative
151.mp4;positive
152.mp4;positive
153.mp4;positive
154.mp4;positive
155.mp4;positive
156.mp4;negative
157.mp4;positive
158.mp4;negative
159.mp4;positive
160.mp4;positive
161.mp4;positive
162.mp4;positive
163.mp4;positive
164.mp4;negative
165.mp4;positive
166.mp4;positive
167.mp4;negative
168.mp4;positive
169.mp4;negative
170.mp4;negative
171.mp4;positive
172.mp4;negative
173.mp4;positive
174.mp4;positive
175.mp4;positive
176.mp4;positive
177.mp4;positive
178.mp4;positive
179.mp4;positive
180.mp4;negative
181.mp4;positive
182.mp4;positive
183.mp4;positive
184.mp4;positive
185.mp4;positive
186.mp4;positive
187.mp4;positive
188.mp4;negative
189.mp4;positive
190.mp4;negative
191.mp4;positive
192.mp4;positive
193.mp4;positive
194.mp4;negative
195.mp4;positive
196.mp4;positive
197.mp4;positive
198.mp4;positive
199.mp4;positive
200.mp4;positive